"","A","B","Appearance","Ethics","Intelligence","Kindness","Wealth","compatibility"
"24","Buck","Dog",70,100,100,90,100,91.1733914477673
"25","Buck","Drake",94.4444444444444,100,100,100,100,98.8633410638957
"26","Buck","Duck",75,80.0796812749004,100,60.1593625498008,83.3333333333333,78.657676925841
"27","Buck","Gander",90,23.0769230769231,100,42.3076923076923,72.2222222222222,57.6105629804603
"28","Buck","Goose",94.4444444444444,90,87.5,100,100,94.2508760800187
"29","Buck","Hen",34.640522875817,61.5384615384615,79.1666666666667,83.3333333333333,100,67.5489242925396
"30","Buck","Lioness",91.6666666666667,100,100,90,94.4444444444444,95.1318785955834
"31","Buck","Mare",67.3202614379085,100,100,90,94.4444444444444,89.4361187503752
"32","Buck","Pen",75,83.3333333333333,75.4901960784314,83.3333333333333,100,82.9693838519542
"33","Buck","Ram",91.6666666666667,80.7692307692308,100,61.5384615384615,100,85.4517190843799
"34","Buck","Rooster",75,40.2390438247012,100,90,94.4444444444444,76.1772987119211
"35","Buck","Tigress",58.3333333333333,83.3333333333333,100,100,100,86.5659520169564
"36","Buck","Whale",75,83.3333333333333,100,100,100,91.028210151304
"37","Bull","Boar",100,87.5,100,83.3333333333333,87.5,91.4043726001018
"38","Bull","Buck",75,83.3333333333333,100,100,75,85.938596379374
"39","Bull","Cob",87.5,83.3333333333333,87.5,90,75,84.4943611308857
"40","Bull","Cow",77.5,100,75.4901960784314,90,75.4901960784314,83.1505380420752
"41","Bull","Doe",79.1666666666667,100,100,83.3333333333333,79.1666666666667,87.8174241913867
"42","Bull","Dog",77.5,90,100,90,100,91.1081743628018
"43","Bull","Drake",79.1666666666667,90,100,100,75,88.2204414057346
"44","Bull","Duck",100,100,100,60.1593625498008,87.5,87.9553489136866
"45","Bull","Gander",75.8333333333333,37.5,100,42.3076923076923,95.8333333333333,64.9180504529742
"46","Bull","Goose",79.1666666666667,100,87.5,100,58.3333333333333,83.4244671197518
"47","Bull","Hen",26.4705882352941,79.1666666666667,79.1666666666667,83.3333333333333,50.9803921568627,58.8320589027
"48","Bull","Lioness",100,83.3333333333333,90,90,79.1666666666667,88.2204414057346
"49","Bull","Mare",50.9803921568627,83.3333333333333,100,90,100,82.5073972169732
"50","Bull","Pen",87.5,100,75.4901960784314,83.3333333333333,75,83.7829648431002
"51","Bull","Ram",79.1666666666667,96.6666666666667,100,61.5384615384615,50.9803921568627,75.1750597224381
"52","Bull","Rooster",87.5,50.9803921568627,100,90,100,83.3164480606487
"53","Bull","Tigress",100,100,100,100,100,100
"54","Bull","Whale",87.5,90,90,100,100,93.3466237047292
"55","Cob","Boar",99.5098039215686,66.6666666666667,100,83.3333333333333,87.5,86.4809165364426
"56","Cob","Buck",83.3333333333333,90,87.5,90,75,84.9717607950878
"57","Cob","Bull",87.5,83.3333333333333,87.5,90,75,84.4943611308857
"58","Cob","Cow",80,80.7692307692308,75.4901960784314,80,75.4901960784314,78.3143604274961
"59","Cob","Doe",95.8333333333333,80.7692307692308,87.5,83.3333333333333,70.8333333333333,83.2463892795614
"60","Cob","Dog",80,96.6666666666667,100,80,100,90.8429739586001
"61","Cob","Drake",100,96.6666666666667,99.5098039215686,90,75,91.725328819048
"62","Cob","Duck",87.5,80.0796812749004,95.8333333333333,60.1593625498008,70.8333333333333,77.8605698174476
"63","Cob","Gander",93.3333333333333,23.0769230769231,100,42.3076923076923,68.0555555555555,57.3455232691942
"64","Cob","Goose",100,90,87.5,90,58.3333333333333,83.8073239008136
"65","Cob","Hen",34.640522875817,61.5384615384615,79.1666666666667,83.3333333333333,50.9803921568627,59.0335732811415
"66","Cob","Lioness",95.8333333333333,90,80,80,73.6111111111111,83.5173085462191
"67","Cob","Mare",67.3202614379085,90,87.5,80,94.4444444444444,83.2784343808237
"68","Cob","Pen",87.5,83.3333333333333,75.4901960784314,83.3333333333333,75,80.7829066648329
"69","Cob","Ram",95.8333333333333,80,87.5,61.5384615384615,50.9803921568627,73.2205333750526
"70","Cob","Rooster",87.5,40.2390438247012,99.5098039215686,90,94.4444444444444,78.4852598185767
"71","Cob","Tigress",79.1666666666667,83.3333333333333,95.8333333333333,100,100,91.2379547955728
"72","Cob","Whale",87.5,80,80,100,100,89.0507548980229
"73","Cow","Boar",79.9019607843137,95.8333333333333,100,83.3333333333333,100,91.406810895317
"74","Cow","Buck",70,80.7692307692308,75.4901960784314,90,100,82.5839040836751
"75","Cow","Bull",77.5,100,75.4901960784314,90,75.4901960784314,83.1505380420752
"76","Cow","Cob",80,80.7692307692308,75.4901960784314,80,75.4901960784314,78.3143604274961
"77","Cow","Doe",62.5,100,75.4901960784314,83.3333333333333,77.2727272727273,78.7994367214721
"78","Cow","Dog",60,83.3333333333333,100,80,100,83.2553207401873
"79","Cow","Drake",66.6666666666667,83.3333333333333,87.5,90,100,84.7609101536218
"80","Cow","Duck",77.5,100,77.2727272727273,60.1593625498008,100,81.5316504336901
"81","Cow","Gander",60,62.5,100,42.3076923076923,100,69.1974548512569
"82","Cow","Goose",66.6666666666667,100,100,90,100,90.2880451447434
"83","Cow","Hen",21.5686274509804,87.5,100,83.3333333333333,100,69.0764266421016
"84","Cow","Lioness",79.1666666666667,80.7692307692308,60.7843137254902,80,100,79.1651359919786
"85","Cow","Mare",41.1764705882353,80.7692307692308,75.4901960784314,80,100,72.5395941053489
"86","Cow","Pen",67.5,100,100,83.3333333333333,100,89.1301228983002
"87","Cow","Ram",62.5,90,75.4901960784314,61.5384615384615,100,76.4595861458223
"88","Cow","Rooster",67.5,54.5454545454545,87.5,90,100,78.0661173525094
"89","Cow","Tigress",75.8333333333333,100,77.2727272727273,100,100,89.8622477171943
"90","Cow","Whale",67.5,83.3333333333333,60.7843137254902,100,100,80.6831432147353
"91","Doe","Boar",97.7272727272727,95.8333333333333,100,100,95.8333333333333,97.861032498383
"92","Doe","Buck",91.6666666666667,80.7692307692308,100,83.3333333333333,91.6666666666667,89.2272515675354
"93","Doe","Bull",79.1666666666667,100,100,83.3333333333333,79.1666666666667,87.8174241913867
"94","Doe","Cob",95.8333333333333,80.7692307692308,87.5,83.3333333333333,70.8333333333333,83.2463892795614
"95","Doe","Cow",62.5,100,75.4901960784314,83.3333333333333,77.2727272727273,78.7994367214721
"96","Doe","Dog",62.5,83.3333333333333,100,83.3333333333333,100,84.6259398664568
